#,Name,Onboarding Status,Referral Agreement Signed?,BA SF (Referral Split),Capital Category,Product Types,Industries Served,Deal Size,Cost of Capital,Revenue Requirements,Required Documentation,Relationship Owner,Website,Contact Name,Contact Email,Contact Phone,Meeting Notes,Marketing Materials (Drive Link),Referral Agreement (Link)
1,Haut Finance,Signed,Yes,50/50,"Structured Finance, Investment Banking, Trade Finance, Corporate Advisory","Structured Finance, Supply Chain Finance, Trade Finance, Project Finance, Debt Raising, Private Equity Placement, M&A Advisory, Bond Placements, Working Capital Finance, Vendor Financing, Receivables Discounting, Mezzanine Capital, Convertible Instruments","Real Estate, Infrastructure, Manufacturing, Consumer Brands, Agriculture, FMCG, Technology, Media & Entertainment, Government & Public Sector Projects",100M-1B,,4x Loan,,Ryan,,,,,,https://drive.google.com/file/d/10Yz0YWFNyA10i7T4u71-Dz7lm1pwaG7O/view?usp=drive_link,
12,Saratoga Investment Corp,In Progress,Pending,50/50 Pending agreement,"Private Credit, Cash Flow Lending, Acquisition Financing, Growth Capital","Subordinated Debt, First Lien Loans, Second Lien Loans, Senior Secured Loans, Unitranche Loans, One-Stop Facilities, Delayed Draw Term Loans, Equity Co-Investments","Software, Technology, Healthcare Technology, Business Services, IT Services, Hospitality Technology, Commercial Real Estate Technology, HR Technology, Consumer Services, Franchises, Restaurants, Food & Beverage","$5,000,000-$75,000,000","No stated rate or pricing provided; pricing is deal-specific based on leverage, EBITDA/ARR, lien position, credit risk, collateral, use of proceeds, and whether equity co-investment is included","EBITDA of at least $2M or annual recurring revenue of $5M+; prefers strong margins, free cash flow, stable historical performance, recurring revenue, modest capex/working capital needs, and strong management ownership","No formal document checklist stated; likely CIM/deal summary, historical financials, projections, EBITDA/ARR support, debt schedule, cap table, management information, transaction overview, use of proceeds, customer/revenue detail, and diligence materials depending on structure",Robert /Ryan,https://www.saratogainvestmentcorp.com/,Rich Petrocelli (MD),rich@saratogapartners.com,(646) 515-3645,Spoke to Rich on phone 6/10/26,https://drive.google.com/file/d/1mzEhnl7SezBxUhGCCqa-T7OQGZmLcUFf/view?usp=drive_link,
13,Monroe Capital,In Progress,Pending In compliance,Mentioned 50 Bips,"Private Credit, Cash Flow Lending, SaaS Financing","Cash Flow Loans, Enterprise Value Loans, Recurring Revenue Loans, Asset-Backed Facilities, Senior Credit Facilities, Alternative Credit Facilities, Equity Co-Investments","HealthcareTechnologySports, Media & EntertainmentRetail & Consumer ProductsSpecialty FinanceVenture DebtIndependent SponsorReal EstateOther Specialties",Up to $300 million hold size for companies with a minimum EBITDA of $5 million,"No stated rate or pricing provided; pricing is deal-specific based on EBITDA, leverage, credit profile, lien position, collateral, enterprise value, sponsor support, industry, and transaction structure","Targets middle-market companies with EBITDA starting at $5M; recurring revenue/SaaS financing may be underwritten based on ARR, growth, retention, and enterprise value","No formal checklist stated; likely CIM/deal summary, historical financials, projections, EBITDA/ARR support, debt schedule, cap table, sponsor/ownership information, use of proceeds, transaction overview, customer/revenue detail, collateral information for ABL, and diligence materials depending on structure",Robert /Ryan,https://monroecap.com/team/,Ryan Schafer (VP),rschafer@monroecap.com,(312) 754-8345,Spoke to Ryan on phone 6/10/26 will get back to us within a week. Referral Agreement in compliance. Followed up 6/23/26,https://drive.google.com/file/d/1apiEu5sUezdmP40Crhbl6gLqtZIPVlso/view?usp=drive_link,
14,Breakout Finance,Signed,Yes,Breakout Finance – Referral Compensation:** Up to 3.0% of funded loan principal (Simple Referral); 1.0% if Partnering on Deal Referral; Factoring referrals earn 5–10% of Breakout factoring fees; renewals paid at same rates. Subject to 60-business-day clawback if default occurs.**,Short-Term Working Capital / Term Loans / Bridge Capital,"Term loans, bridge term loans, working capital financing, accounts receivable financing, purchase order financing, debt consolidation/refinance, covenant relief capital, payroll/operating capital","Preferred industries include healthcare, manufacturing, staffing, consulting, technology, and government contracting; restricted industries include agriculture, finance/insurance, mining, real estate/leasing, and transportation/warehousing",Up to $2M; Bridge Term Loan up to $500K; terms up to 2 years; estimated funding timeline 1–2 days,No stated APR/rate provided; Waive Term Loan waives 100% of remaining interest if repaid within 90 days; Bridge Term Loan charges zero interest if fully repaid within first 30 days,Minimum $50K average monthly revenue; minimum 1 year in business; minimum 580 FICO,"application, business bank statements, AR/borrowing base support, purchase orders/contracts if applicable, existing debt schedule, financials, ownership/credit information, and use-of-funds details",Robert /Ryan,https://www.breakoutfinance.com,Andrew Moss (VP),amoss@breakoutfinance.com,864.490.4498,,https://drive.google.com/file/d/1ba6-zWyEStBUxfuGdWq0l8RLWoXY_cu9/view?usp=drive_link,
15,Slim Capital,Signed,Yes- Sending over Copy,,Equipment Finance / Asset-Based Lending / Cash-Out Equipment Financing / Working Capital,"Equipment finance, cash-out equipment financing, sale-leaseback, asset-based lending, unsecured working capital, software financing, cannabis equipment financing, restaurant equipment financing, startup equipment financing, and equipment refinancing","Equipment-heavy businesses including transportation, construction, materials handling, machine tools, manufacturing, livery, industrial, vocational, packaging, cannabis equipment, restaurants/food trucks, and software; exclusions for cash-out include medical equipment, commercial printers, forestry equipment, and Class 8 sleepers",Program-dependent; Tier I app-only up to $500K; Tier II up to $150K; Tier III up to $75K; startup max $60K financing / $75K equipment cost with 20% down; cannabis app-only up to $150K; cash-out EFA terms up to 60 months; equipment terms up to 72 months; unsecured working capital terms 6–18 months,No stated interest rate; positioned as lower-cost than MCA financing; monthly payments instead of daily/weekly payments; no early payoff penalty on cash-out program if payments are made on time,"Varies by program; cash-out requires 600+ FICO, 2+ years in business, and unencumbered business equipment; Tier I requires 680+ FICO and 5+ years in business; Tier II requires 620+ FICO and 2+ years; working capital requires 1+ year in business, 625+ FICO, and $150K+ annual revenue; software requires 2+ years and 650+ FICO","App-only up to $500K: signed credit application, equipment invoice, and 3 months full bank statements; $500K+ full financials: app-only documents plus 3 years business/personal financial statements and tax returns, current interim statements, personal financial statement, debt schedule, and equipment purchase justification; cash-out also requires a facilities list and “Cash-Out” listed as loan purpose",Robert /Ryan,https://www.slimcapital.com/,Jeff Brannon( Head of Sales),Jeff@slimcapital.com,949-981-0431,,https://drive.google.com/file/d/1XzIHxNmGYUhvOIac3eBBxIH0Ei9FHKCP/view?usp=drive_link https://drive.google.com/file/d/1v6I3mnyCiAYEAQymSQtNyVTzeeMCQKJu/view?usp=drive_link,
16,Biz2Credit,In Progress,Pending- Background Check - Need to Send over void check and passport,RSA / MCA ~3%New Working Capital / LOC / Equipment Financing 2%New Term Loan 1%Renewal / Refinance Working Capital / LOC / Equipment Financing 1%Renewal / Refinance Term Loan 0.5%,"SMB Lending, MCA / Revenue-Based Financing, Working Capital, Term Loans, Lines of Credit","Merchant Cash Advance / Revenue-Based Financing, Term Loans, Business Lines of Credit",Broad range of U.S. small businesses / SMBs,General funding: $25K–$2M+; Term Loans: $25K–$1M+; LOC: up to $500K; RBF average funding around $110K,"Varies by product and underwriting; RBF/MCA uses factor-rate / future-receivables repayment, not normal fixed interest; term loans/LOC pricing depends on credit, revenue, and approval","RBF: $250K+ annual revenue, 575+ FICO, 1+ year in business; Term Loan: $250K+ annual revenue, 650+ FICO, 18+ months in business; LOC varies, often based on credit, revenue, and time in business","Basic business info, 3–6 months business bank statements, tax returns, legal/entity docs, business plan or loan purpose, balance sheet, P&L, business/personal tax returns, business tax ID/EIN, ID/passport, voided business check",Ryan (Robert reached back out),Biz2Credit.com,Tommy Blinder,tommy.blinder@biz2credit.com,332.699.4693,Send over NDA spoke on phone 6/9/26,https://drive.google.com/file/d/1yReVE2Unh-VC5A0d7LeJsDy0HBET2jP6/view?usp=drive_link https://drive.google.com/file/d/15SPlBm4A8XwcZFUKKIK3Zr6tm5ZPMMTL/view?usp=drive_link. https://drive.google.com/file/d/15SPlBm4A8XwcZFUKKIK3Zr6tm5ZPMMTL/view?usp=drive_link. https://drive.google.com/file/d/1p80mEjW8lHHH11BBfWa675bQXwCCKMjV/view?usp=drive_link. https://drive.google.com/file/d/1guDTaB_yuzxVwgPEgUvf65NPLZPDP2yu/view?usp=drive_link,
17,Forward Financing,In Progress,Pending Response from Parker richards,,Revenue-Based Financing,"Revenue Advances, Revenue-Based Financing","Over 700 supported including trucking, restaurants, and retail.Restricted: Prohibits cannabis, firearms, adult entertainment, and financial firms.","Typically $5,000 to $500,000 with a $33,000 overall",,,,Robert/Ryan,https://www.forwardfinancing.com,Parker Richards (Acct Manager),prichards@forwardfinancing.com,(617) 729-2519,Reached back out 6/23/26,https://drive.google.com/file/d/1ufeShhmCX5WajwqHYQL7Gbx540SHuk5h/view?usp=drive_link,
18,Hum Capital,Signed,Yes,30% of Hum + BA success Fee,Growth Debt / Private Credit Marketplace / Non-Dilutive Business Financing,Term Loans; Credit Lines; Delayed Draw Facilities; Multi-Tranche Debt Facilities; Working Capital Financing; Acquisition Financing; Debt Refinancing,Industry agnostic; U.S. and Canadian growth companies across various verticals; limited excluded industries,$1M–$7M facility size; average ~$3.1M,1.0%–1.5% per month; monthly repayment; 12–36 month terms,$3M–$50M annual revenue; minimum 2.5%–5% YoY revenue growth; underwriting based on DSCR,Borrowers securely connect financial software to Hum’s platform; Hum uses its Intelligent Marketplace / Hum AI to evaluate business fundamentals and match companies with investors/lendershttps://humcapital.com/our-story/,Robert/ Ryan,https://humcapital.com,Kaare Andersen,kaare@humcapital.com,914-486-4410,,,
19,Bigfoot Capital,Signed,Yes,**5% of gross interest income from referred clients; paid monthly while client remains active and not in default.**,Growth Debt / Venture Debt / SaaS & Tech-Enabled Services Lending,Multi-Draw Term Loan Facilities; Non-Dilutive Growth Capital; M&A Financing; Bridge-to-Equity Financing,B2B software and tech-enabled services companies in the U.S. and Canada,Initial check size: $1M–$5M; 36-month term per draw; up to 12-month draw period,Interest rate plus fee; no warrants; exact pricing not specified,$2M–$15M ARR; 20%+ annual revenue growth; 50%+ recurring revenue mix; gross margins 70%+ for SaaS or 50%+ for tech-enabled services; net cash burn up to 50% of revenue,"Required documentation not specified; likely financial statements, ARR/revenue detail, recurring revenue metrics, customer data, cap table, debt schedule, and use of funds",Robert/Ryan,https://bigfootcap.com,Carter Hathorne,chawthorne@bigfootcap.com,516-330-4338,,https://drive.google.com/file/d/1Ca3rIn3IyKhz8KmnBSVzAmGnluxbF0W9/view?usp=drive_link,
20,Area,No Program,Does not do Referrals,No Referral Fee,UHNW Art Finance / Collectibles Asset-Based Lending / Specialty Lending,Annual Renewable Lines of Credit; Term Facilities; Revolving Lines secured by fine art collections and select collectibles,UHNW individuals; trusts; operating entities; family offices; art collectors; collectors with diversified collateral pools,$10M minimum facility size; 50% advance rate / 2x collateral coverage required; annual renewable line or term structure,"Approximately SOFR + 250 bps; borrower pays setup fees, unused-line fees, appraisal costs, and outside counsel legal fees","No business revenue requirement stated; underwriting based on UHNW guarantor cash flow, liquidity, net worth, and ability to service principal and interest; guarantor NW generally $50M–$100M+",Liquidity statements; 2 years tax returns; personal/entity financial statements; artwork provenance; third-party appraisal; collateral details; UCC filing; 15%–20% of loan amount held with bank in acceptable liquid assets,Ryan,https://www.aera.inc/,Pasha Baradaran,pasha@aera.inc,calendly.com/pasha-aera,,https://drive.google.com/file/d/1zZG33RUw0doexyBspEzISJWg6P_65CiU/view?usp=sharing,
21,NFS Leasing,In Progress,Sent to JP Camire- Need to sign,2% of The net Financed Amount,Specialty Equipment Finance / Story Credit Equipment Leasing / Asset-Based Lending,FMV Leases; $1-Out Capital Leases; Sale-Leasebacks; Equipment Finance Agreements; Asset-Based Term Loans; New and Used Equipment Financing,"Industry agnostic; focus on technology, life sciences, healthcare, construction, manufacturing, and industrial automation; excludes cannabis, long-haul trucking, and firearms",$150K–$15M; application-only up to $250K; flexible terms depending on asset class and structure,"Not stated; pricing varies by credit profile, collateral, structure, guarantees, down payment, and risk mitigants","No fixed revenue requirement stated; targets early-stage, growth-stage, low/negative EBITDA, turnaround, and unique story credits with a clear path forward","Up to $250K: credit application, last 3 months business bank statements, equipment quote. Above $250K: last 3 months bank statements, current YTD P&L, current YTD balance sheet, last 2 years business tax returns, debt schedule, PFS. Also reviews vendor, prefunding/progress payments, equipment location, business benefit, down payment ability, and budgeted monthly payment.https://drive.google.com/file/d/1oiGE4FthQKjgVctfUa9xohebPUn6y3OH/view?usp=drive_link",Robert/Ryan,https://www.nfscapital.com/,JP Camire,awhyman@nfsleasing.com,978-712-4050,,,
22,ARF Financial,Signed,Yes,"Up to 8% (4% upfront + 4% earn-out), plus residuals and production bonuses.",SMB Working Capital / Revolving Line of Credit / Short-Term Business Lending,P&I Revolving Line of Credit; IO Flex Pay; IO Bankroll; Working Capital Financing; Debt Refinancing,"Approved SMB industries including healthcare, restaurants, hospitality, retail, professional services, manufacturing, IT services, automotive, salons, dry cleaners, pet stores, and other service businesses",$5K–$1.5M overall program; P&I LOC minimum initial draw $15K; IO Flex Pay minimum initial draw $50K; IO Bankroll minimum initial draw $50K; terms up to 36 months / interest-only and revolving options available,Cost not fully stated; 3–4 points at closing depending on product; interest-only options available; no early payoff penalties,"General minimum: 575+ Equifax, 30+ days revenue, $50K+ monthly sales for P&I LOC; IO Flex Pay: 651+ credit score, 3+ years in business, home ownership; IO Bankroll: 651+ credit score, 4+ years in business, home ownership, profitable tax returns, $1.2M+ annual sales","Credit application; business bank statements; proof of sales/revenue; ownership/guarantor information; tax returns for IO Bankroll/profit verification; review of competitor positions, deposits, NSFs, employee count, and recent MCA/short-term funding",Robert/Ryan,https://www.arffinancial.com/,Jose Hidalgo,jhidalgo@arffinancial.com,(754) 778-6744,,https://drive.google.com/file/d/1m78z-w3pkMWWMR-cDDAdpLjj29SJc-nj/view?usp=drive_linkhttps://drive.google.com/file/d/1BfRXrXz9JSGnWITWikWXmFeY_2Omcajw/view?usp=drive_linkhttps://drive.google.com/file/d/1MfrbHdRgmrgzzO1LnWf8TlYo0SzJtXb9/view?usp=drive_linkhttps://drive.google.com/file/d/1R0d_KiAfGs-DIr5duYH7UqSpWF3snZ7e/view?usp=drive_linkhttps://drive.google.com/file/d/1eSF4sDBUP4EJ1BmkO0UnurDZ4f98Skm6/view?usp=drive_linkhttps://drive.google.com/file/d/1dpMrRCjWwhArarEMAKMxsfwI0K-RJQki/view?usp=drive_link,
23,Quantum Financial Technologies,Signed,Yes,Term Loans3.0% of funded loan amount (one-time)Fee-Based Loans4.0% of funded loan amount (one-time)Lines of Credit2.0% of commitment amount (one-time) + 1.0% annual portfolio fee (paid monthly for 18 months on performing accounts),Alternative SMB Lending / Tech-Enabled Business Credit / Working Capital,Term Loans; Fee-Based Lines of Credit; MCA Payoff / Debt Refinance,"Preferred industries include healthcare, accounting, architecture/engineering, breweries/wineries; higher-risk includes construction, retail, transportation, real estate, and food services; prohibited includes firearms, tobacco, gambling, marijuana, non-profits, and motor vehicle dealers",Term Loans up to $250K; Fee-Based LOC up to $150K; term loan repayment 12–60 months; LOC 12–24 months re-amortized after each draw,Term Loans: 14.99%–35.99% plus 5% origination fee; LOC: 1.6%–3.0% fee-based pricing plus 3% commitment fee,"Minimum 680+ FICO, focus on 700+; $150K+ annual revenue, focus on $200K+; 1+ year in business; average bank balance $3K+; no more than 10 NSFs in last 3 months",Application through partner portal; Equifax soft credit pull; business bank statements / bank activity review; ownership information; revenue verification; MCA/short-term debt review; no more than one active MCA position,Robert/Ryan,https://www.quantumlends.com/,Chris Niebur,chris.niebur@quantumlends.com,720-436-9194,,https://drive.google.com/file/d/1rOWvqrnbrL4AuvENMm4L3wmJfdAe4Fei/view?usp=drive_link,
24,Dexly Finance,Signed,Yes,Need to Acquire Comp breakdown,MCA / Revenue-Based Financing / Alternative SMB Funding,Merchant Cash Advances; Revenue-Based Financing; Working Capital Advances; Short-Term Business Funding,"Broad SMB industries across all U.S. states and Puerto Rico; Canada considered if business is U.S.-registered; restricted industries require $1M+ monthly revenue; prohibited industries include used auto dealerships, cannabis, financial services, and religious services",$75K–$5M; terms typically 5–12 months; daily or weekly repayment; Texas must be first position,MCA pricing / factor rate not stated; origination fees range from 1%–10% based on risk profile and business performance,12+ months in business; restricted industries require $1M+ monthly revenue; no bankruptcies; no more than 5 negative days in most recent month and no more than 12 negative days over last 3 months,Application; business bank statements; ownership/guarantor info; business verification docs; revenue verification; bank activity review; existing MCA/short-term debt position review,Ryan,www.dexlyfinance.com,Nell Grabczak,nell@dexlyfinance.com,347-362-8632,,https://drive.google.com/file/d/1I0AhOku2uuhCUDyDrxJ2xVQ09pESiEnG/view?usp=drive_link https://drive.google.com/file/d/1EjwUMgnivAV9qcZ1NWQqNu-O8mPZyuMe/view?usp=drive_link,
